IR, RED,X,Y,Z, heart_rate, respiration_rate, SPO2,Activity
123447,82472,0.028023,-0.034028,0.901733,92.30769231,17.64705882,78.64031488,5.00E+00
123795,105677,0.030024,-0.03703,1.034841,92.30769231,17.64705882,78.64031488,5.00E+00
121904,105565,0.031025,-0.034028,1.034841,92.30769231,17.64705882,78.64031488,5.00E+00
118390,104186,0.032026,-0.031025,1.040846,92.30769231,17.64705882,78.64031488,5.00E+00
117783,103502,0.030024,-0.038031,1.038844,92.30769231,17.64705882,78.64031488,5.00E+00
118159,103574,0.026021,-0.039032,1.030838,92.30769231,17.64705882,78.64031488,5.00E+00
118756,103860,0.032026,-0.035028,1.03384,92.30769231,17.64705882,78.64031488,4.00E+00
119150,104128,0.027022,-0.035028,1.037843,92.30769231,17.64705882,78.64031488,5.00E+00
119293,104256,0.031025,-0.036029,1.034841,92.30769231,17.64705882,78.64031488,4.00E+00
119102,104235,0.034028,-0.040033,1.035842,92.30769231,17.64705882,78.64031488,3.00E+00
118930,104129,0.035028,-0.038031,1.03384,92.30769231,17.64705882,78.64031488,4.00E+00
119034,104053,0.035028,-0.040033,1.030838,92.30769231,17.64705882,78.64031488,4.00E+00
119359,104075,0.029024,-0.038031,1.029837,92.30769231,17.64705882,78.64031488,5.00E+00
119866,104229,0.030024,-0.040033,1.035842,92.30769231,17.64705882,78.64031488,5.00E+00
120238,104418,0.030024,-0.03703,1.039845,92.30769231,17.64705882,78.64031488,5.00E+00
120627,104564,0.034028,-0.03703,1.037843,92.30769231,17.64705882,78.64031488,3.00E+00
120991,104702,0.033027,-0.039032,1.039845,92.30769231,17.64705882,78.64031488,3.00E+00
121232,104803,0.029024,-0.038031,1.035842,92.30769231,17.64705882,78.64031488,5.00E+00
121455,104872,0.034028,-0.03703,1.038844,92.30769231,17.64705882,78.64031488,3.00E+00
121641,104950,0.032026,-0.034028,1.030838,92.30769231,17.64705882,78.64031488,5.00E+00
121808,105001,0.033027,-0.03703,1.03384,92.30769231,17.64705882,78.64031488,4.00E+00
121966,105061,0.031025,-0.035028,1.040846,92.30769231,17.64705882,78.64031488,5.00E+00
121555,105103,0.032026,-0.03703,1.03384,92.30769231,17.64705882,78.64031488,4.00E+00
117094,103343,0.032026,-0.038031,1.027835,80,17.64705882,79.60104837,4.00E+00
117006,103167,0.031025,-0.038031,1.031838,80,17.64705882,79.60104837,5.00E+00
117351,103267,0.034028,-0.042034,1.031838,80,17.64705882,79.60104837,4.00E+00
117696,103417,0.030024,-0.03703,1.035842,80,17.64705882,79.60104837,5.00E+00
118100,103545,0.031025,-0.039032,1.037843,80,17.64705882,79.60104837,5.00E+00
118117,103668,0.030024,-0.03703,1.034841,80,17.64705882,79.60104837,5.00E+00
118126,103629,0.033027,-0.034028,1.03384,80,17.64705882,79.60104837,5.00E+00
118322,103656,0.030024,-0.035028,1.031838,80,17.64705882,79.60104837,5.00E+00
118568,103741,0.027022,-0.033027,1.029837,80,17.64705882,79.60104837,5.00E+00
118950,103884,0.029024,-0.035028,1.036842,80,17.64705882,79.60104837,5.00E+00
119391,103996,0.031025,-0.035028,1.039845,80,17.64705882,79.60104837,5.00E+00
119619,104104,0.028023,-0.036029,1.036842,80,17.64705882,79.60104837,5.00E+00
119894,104149,0.027022,-0.038031,1.032839,80,17.64705882,79.60104837,5.00E+00
120102,104220,0.028023,-0.040033,1.034841,80,17.64705882,79.60104837,5.00E+00
120350,104293,0.027022,-0.040033,1.03384,80,17.64705882,79.60104837,5.00E+00
120564,104382,0.031025,-0.034028,1.032839,85.71428571,17.64705882,81.55024783,5.00E+00
120848,104494,0.033027,-0.035028,1.035842,85.71428571,17.64705882,81.55024783,4.00E+00
121149,104622,0.032026,-0.036029,1.036842,85.71428571,17.64705882,81.55024783,4.00E+00
119532,104567,0.026021,-0.03703,1.030838,85.71428571,17.64705882,81.55024783,5.00E+00
117236,103465,0.027022,-0.03703,1.034841,85.71428571,17.64705882,81.55024783,5.00E+00
116777,103051,0.031025,-0.036029,1.044849,85.71428571,17.64705882,81.55024783,5.00E+00
117108,103118,0.032026,-0.040033,1.032839,85.71428571,17.64705882,81.55024783,4.00E+00
117916,103443,0.02402,-0.036029,1.036842,85.71428571,17.64705882,81.55024783,5.00E+00
118301,103626,0.030024,-0.03703,1.035842,85.71428571,17.64705882,81.55024783,5.00E+00
118380,103744,0.032026,-0.039032,1.034841,85.71428571,17.64705882,81.55024783,3.00E+00
118260,103751,0.030024,-0.03703,1.034841,85.71428571,17.64705882,81.55024783,5.00E+00
118309,103730,0.030024,-0.03703,1.034841,85.71428571,17.64705882,81.55024783,5.00E+00
118533,103778,0.027022,-0.036029,1.032839,85.71428571,17.64705882,81.55024783,5.00E+00
118956,103878,0.027022,-0.039032,1.037843,85.71428571,17.64705882,81.55024783,5.00E+00
119500,104056,0.032026,-0.03703,1.029837,75,17.64705882,81.55024783,4.00E+00
120065,104239,0.029024,-0.030024,1.031838,75,17.64705882,80.17385515,5.00E+00
120387,104390,0.027022,-0.033027,1.034841,75,17.64705882,80.17385515,5.00E+00
120586,104434,0.029024,-0.038031,1.031838,75,17.64705882,80.17385515,5.00E+00
121267,104539,0.032026,-0.038031,1.034841,75,17.64705882,80.17385515,3.00E+00
121477,104703,0.030024,-0.038031,1.03384,75,17.64705882,80.17385515,5.00E+00
118925,104436,0.034028,-0.036029,1.035842,75,17.64705882,80.17385515,4.00E+00
117115,103319,0.036029,-0.039032,1.03384,75,17.64705882,80.17385515,3.00E+00
116943,103044,0.031025,-0.043035,1.035842,75,17.64705882,80.17385515,5.00E+00
117372,103151,0.035028,-0.03703,1.038844,75,17.64705882,80.17385515,3.00E+00
117780,103336,0.033027,-0.035028,1.03384,75,17.64705882,80.17385515,4.00E+00
118154,103508,0.033027,-0.041033,1.032839,75,17.64705882,80.17385515,4.00E+00
118307,103653,0.031025,-0.039032,1.03384,75,17.64705882,80.17385515,5.00E+00
118223,103638,0.032026,-0.032026,1.031838,75,17.64705882,80.17385515,5.00E+00
118234,103630,0.034028,-0.036029,1.036842,75,17.64705882,80.17385515,4.00E+00
118395,103702,0.032026,-0.036029,1.038844,75,17.64705882,80.17385515,4.00E+00
118608,103782,0.034028,-0.036029,1.029837,80,17.64705882,80.28127679,4.00E+00
118865,103873,0.029024,-0.041033,1.032839,80,17.64705882,80.28127679,5.00E+00
119207,103988,0.026021,-0.036029,1.034841,80,17.64705882,80.28127679,5.00E+00
119558,104111,0.030024,-0.034028,1.036842,80,17.64705882,80.28127679,5.00E+00
119856,104222,0.030024,-0.03703,1.031838,80,17.64705882,80.28127679,5.00E+00
120373,104398,0.028023,-0.038031,1.03384,80,17.64705882,80.28127679,5.00E+00
120521,104456,0.032026,-0.033027,1.035842,80,17.64705882,80.28127679,5.00E+00
120629,104490,0.032026,-0.036029,1.035842,80,17.64705882,80.28127679,4.00E+00
120884,104551,0.031025,-0.035028,1.031838,80,17.64705882,80.28127679,5.00E+00
121096,104627,0.032026,-0.036029,1.031838,80,17.64705882,80.28127679,4.00E+00
121381,104740,0.031025,-0.038031,1.032839,80,17.64705882,80.28127679,5.00E+00
121641,104795,0.032026,-0.03703,1.038844,80,17.64705882,80.28127679,4.00E+00
121866,104861,0.034028,-0.036029,1.03384,80,17.64705882,80.28127679,4.00E+00
122027,104928,0.030024,-0.035028,1.032839,80,17.64705882,80.28127679,5.00E+00
122192,104969,0.029024,-0.036029,1.032839,80,17.64705882,80.28127679,5.00E+00
122335,105014,0.034028,-0.036029,1.036842,75,17.64705882,80.28127679,4.00E+00
122463,105067,0.030024,-0.035028,1.034841,75,17.64705882,80.1461747,5.00E+00
122644,105111,0.035028,-0.038031,1.034841,75,17.64705882,80.1461747,3.00E+00
122682,105166,0.034028,-0.03703,1.03384,75,17.64705882,80.1461747,4.00E+00
122849,105205,0.028023,-0.035028,1.037843,75,17.64705882,80.1461747,5.00E+00
122746,105234,0.031025,-0.040033,1.039845,75,17.64705882,80.1461747,5.00E+00
119712,104785,0.035028,-0.03703,1.037843,75,17.64705882,80.1461747,3.00E+00
117410,103395,0.030024,-0.03703,1.029837,75,17.64705882,80.1461747,5.00E+00
117202,103036,0.030024,-0.034028,1.03384,75,17.64705882,80.1461747,5.00E+00
117906,103298,0.033027,-0.036029,1.037843,75,17.64705882,80.1461747,4.00E+00
117998,103369,0.029024,-0.038031,1.035842,75,17.64705882,80.1461747,5.00E+00
