time,Red,IR,X,Y,Z
0.00,82472,123447,0.028023,-0.034028,0.901733
0.05,105677,123795,0.030024,-0.03703,1.034841
0.10,105565,121904,0.031025,-0.034028,1.034841
0.15,104186,118390,0.032026,-0.031025,1.040846
0.20,103502,117783,0.030024,-0.038031,1.038844
0.25,103574,118159,0.026021,-0.039032,1.030838
0.30,103860,118756,0.032026,-0.035028,1.03384
0.35,104128,119150,0.027022,-0.035028,1.037843
0.40,104256,119293,0.031025,-0.036029,1.034841
0.45,104235,119102,0.034028,-0.040033,1.035842
0.50,104129,118930,0.035028,-0.038031,1.03384
0.55,104053,119034,0.035028,-0.040033,1.030838
0.60,104075,119359,0.029024,-0.038031,1.029837
0.65,104229,119866,0.030024,-0.040033,1.035842
0.70,104418,120238,0.030024,-0.03703,1.039845
0.75,104564,120627,0.034028,-0.03703,1.037843
0.80,104702,120991,0.033027,-0.039032,1.039845
0.85,104803,121232,0.029024,-0.038031,1.035842
0.90,104872,121455,0.034028,-0.03703,1.038844
0.95,104950,121641,0.032026,-0.034028,1.030838
1.00,105001,121808,0.033027,-0.03703,1.03384
1.05,105061,121966,0.031025,-0.035028,1.040846
1.10,105103,121555,0.032026,-0.03703,1.03384
1.15,103343,117094,0.032026,-0.038031,1.027835
1.20,103167,117006,0.031025,-0.038031,1.031838
1.25,103267,117351,0.034028,-0.042034,1.031838
1.30,103417,117696,0.030024,-0.03703,1.035842
1.35,103545,118100,0.031025,-0.039032,1.037843
1.40,103668,118117,0.030024,-0.03703,1.034841
1.45,103629,118126,0.033027,-0.034028,1.03384
1.50,103656,118322,0.030024,-0.035028,1.031838
1.55,103741,118568,0.027022,-0.033027,1.029837
1.60,103884,118950,0.029024,-0.035028,1.036842
1.65,103996,119391,0.031025,-0.035028,1.039845
1.70,104104,119619,0.028023,-0.036029,1.036842
1.75,104149,119894,0.027022,-0.038031,1.032839
1.80,104220,120102,0.028023,-0.040033,1.034841
1.85,104293,120350,0.027022,-0.040033,1.03384
1.90,104382,120564,0.031025,-0.034028,1.032839
1.95,104494,120848,0.033027,-0.035028,1.035842
2.00,104622,121149,0.032026,-0.036029,1.036842
2.05,104567,119532,0.026021,-0.03703,1.030838
2.10,103465,117236,0.027022,-0.03703,1.034841
2.15,103051,116777,0.031025,-0.036029,1.044849
2.20,103118,117108,0.032026,-0.040033,1.032839
2.25,103443,117916,0.02402,-0.036029,1.036842
2.30,103626,118301,0.030024,-0.03703,1.035842
2.35,103744,118380,0.032026,-0.039032,1.034841
2.40,103751,118260,0.030024,-0.03703,1.034841
2.45,103730,118309,0.030024,-0.03703,1.034841
2.50,103778,118533,0.027022,-0.036029,1.032839
2.55,103878,118956,0.027022,-0.039032,1.037843
2.60,104056,119500,0.032026,-0.03703,1.029837
2.65,104239,120065,0.029024,-0.030024,1.031838
2.70,104390,120387,0.027022,-0.033027,1.034841
2.75,104434,120586,0.029024,-0.038031,1.031838
2.80,104539,121267,0.032026,-0.038031,1.034841
2.85,104703,121477,0.030024,-0.038031,1.03384
2.90,104436,118925,0.034028,-0.036029,1.035842
2.95,103319,117115,0.036029,-0.039032,1.03384
3.00,103044,116943,0.031025,-0.043035,1.035842
3.05,103151,117372,0.035028,-0.03703,1.038844
3.10,103336,117780,0.033027,-0.035028,1.03384
3.15,103508,118154,0.033027,-0.041033,1.032839
3.20,103653,118307,0.031025,-0.039032,1.03384
3.25,103638,118223,0.032026,-0.032026,1.031838
3.30,103630,118234,0.034028,-0.036029,1.036842
3.35,103702,118395,0.032026,-0.036029,1.038844
3.40,103782,118608,0.034028,-0.036029,1.029837
3.45,103873,118865,0.029024,-0.041033,1.032839
3.50,103988,119207,0.026021,-0.036029,1.034841
3.55,104111,119558,0.030024,-0.034028,1.036842
3.60,104222,119856,0.030024,-0.03703,1.031838
3.65,104398,120373,0.028023,-0.038031,1.03384
3.70,104456,120521,0.032026,-0.033027,1.035842
3.75,104490,120629,0.032026,-0.036029,1.035842
3.80,104551,120884,0.031025,-0.035028,1.031838
3.85,104627,121096,0.032026,-0.036029,1.031838
3.90,104740,121381,0.031025,-0.038031,1.032839
3.95,104795,121641,0.032026,-0.03703,1.038844
4.00,104861,121866,0.034028,-0.036029,1.03384
4.05,104928,122027,0.030024,-0.035028,1.032839
4.10,104969,122192,0.029024,-0.036029,1.032839
4.15,105014,122335,0.034028,-0.036029,1.036842
4.20,105067,122463,0.030024,-0.035028,1.034841
4.25,105111,122644,0.035028,-0.038031,1.034841
4.30,105166,122682,0.034028,-0.03703,1.03384
4.35,105205,122849,0.028023,-0.035028,1.037843
4.40,105234,122746,0.031025,-0.040033,1.039845
4.45,104785,119712,0.035028,-0.03703,1.037843
4.50,103395,117410,0.030024,-0.03703,1.029837
4.55,103036,117202,0.030024,-0.034028,1.03384
4.60,103298,117906,0.033027,-0.036029,1.037843
4.65,103369,117998,0.029024,-0.038031,1.035842
4.70,103456,118245,0.028023,-0.038031,1.03384
4.75,103657,118896,0.032026,-0.038031,1.03384
4.80,103783,119248,0.035028,-0.03703,1.03384
4.85,103900,119433,0.034028,-0.03703,1.034841
4.90,103821,118784,0.030024,-0.03703,1.030838
4.95,103528,118350,0.029024,-0.041033,1.035842
5.00,103478,118615,0.026021,-0.038031,1.032839
